1							
斯大林	7-80600-850-0	编著刘乐华等	A74				
后村的女人们	978-7-81115-742-0	李银河著	D66				
一爷之孙	978-7-81115-740-6	"李银河,郑宏霞著"	D66				
中国当代家庭结构变动分析	978-7-5004-8099-0	王跃生著	D66				
中国农民工战略问题研究	978-7-80706-954-6	韩俊主编	D66				
狂奔在创业路上	978-7-115-21440-9	王琦主编	D66				
中国基本公共服务建设路线图	978-7-5012-3699-2	中国(海南)改革发展研究院编著	D66				
一切为了爱	978-7-5004-8279-6	张宏著	D66				
2010年中国休闲发展报告	978-7-5097-1501-7	"主编刘德谦,高舜礼,宋瑞"	D66				
中国当代大学生违法犯罪原因研究	978-7-5004-8358-8	吴殿朝著	D66				
中国未成年人互联网运用报告	978-7-5097-1546-8	"主编李文革,沈杰"	D66				
图说中国女性	978-7-80130-925-9	卢玲著	D66				
骗局离你有多远	978-7-5044-6596-2	华业编著	D66				
印象中国	978-7-5438-5970-8	主编彭国亮	D66				
当代中国人精神生活研究	978-7-5058-7594-4	童世骏等著	D66				
不要违背良知	978-7-5060-3861-4	唐毅编著	D66				
民进党研究	7-5057-2217-4	李敖著	D67				
儒学社会通论	978-7-300-08038-3	陈劲松著	D69				
南宋政治史	978-7-01-006774-2	何忠礼著	D69				
宋代政治__研究	978-7-5325-5488-1	"平田茂_著;林松_,朱_等_"	D69				
明代科举文献研究	978-7-5607-3558-0	陈长文著	D69				
三百六十行大全	978-7-208-08803-0	周成树著	D69				
反经的智慧	7-80175-372-0	原著赵蕤;解译司马哲	D69				
罗织经	978-7-5461-0999-2	原典(唐)来俊臣;马树全译注	D69				
权谋书	978-7-5461-1000-4	原典(明)张居正;史半山译注	D69				
仕经	978-7-5461-1020-2	原典(五代)冯道;史半山译注	D69				
帝王治国语录	978-7-229-00056-1	何运忠译解	D69				
咸同年间清廷与湘淮集团权力格局之变迁	978-7-303-10988-3	邱涛著	D69				
王道	978-7-5104-0917-2	王铂著	D69				
相谋	978-7-5104-0918-9	黎靖著	D69				
孙中山的儒学情结	978-7-5097-1577-2	"黄明同,张冰,张树旺等著"	D69				
北京的社会调查	978-7-80663-759-3	(美)西德尼·D.甘博著;陈愉秉[等]译	D69				
民国黑白道	978-7-208-08677-7	蒋伟国著	D69				
民国时期甘肃毒品危害与禁毒研究	978-7-01-008720-7	尚季芳著	D69				
密室与剧场	978-7-01-008401-5	金嬴著	D73				
婚活时代	978-7-209-05131-6	"(日)山田昌弘,白河桃子著;郑杨译"	D73				
雪国之樱	978-7-80214-122-3	池雨花编著	D73				
非洲的民主与发展面临的挑战	978-7-300-07995-0	(意)阿尔贝托·麦克里尼著;李福胜译	D74				
国家与社会	978-7-229-00483-5	闵凡祥著	D75				
近代法国结社观念	978-7-80745-548-6	乐启良著	D75				
神秘的第三只手	7-5060-2215-X	刘雪梅等著	D77				
民权运动的前奏	978-7-01-008640-8	谢国荣著	D77				
国际关系英国学派	978-7-01-008510-4	张小明著	D80				
21世纪的反恐战争	978-7-5100-0669-2	"本丛书编委会编;赵小芒,陈仲华,王薇编著"	D81				
国际人权公约与和谐人权观	978-7-5097-1298-6	唐健飞著	D81				
与世界分享中国的成长	978-7-300-11433-0	吴建民著	D82				
中国外交	978-7-5085-1311-9	张清敏著	D82				
当代中国国际战略之衍变	978-7-81110-525-4	贾江华著	D82				
大国外交	978-7-5075-2495-6	唐晋主编	D82				
影响中国外交决策的五大因素	978-7-5117-0275-3	齐建华著	D82				
唐朝与新罗关系史论	978-7-5004-8310-6	拜根兴著	D82				
肯尼迪	978-7-81129-168-1	徐爱国等著	D90				
哈贝马斯	978-7-81129-165-0	任岳鹏著	D90				
全球化与法律理论	978-7-5000-8229-3	(英)威廉·退宁著;钱向阳译	D90				
法律科学	978-7-307-07291-6	(瑞典)亚历山大·佩岑尼克著;桂晓伟译	D90				
斯通	978-7-81129-166-7	薄振峰著	D90				
霍姆斯	978-7-81129-167-4	明辉著	D90				
法理学	978-7-5121-0114-2	时显群编著	D90				
法和经济学	978-7-5432-1760-7	"(美)罗伯特·考特,托马斯·尤伦著;史晋川"	D90				
迈向新法律常识	978-7-300-11481-1	(英)博温托·迪·苏萨·桑托斯著;刘坤轮	D90				
法律逻辑学导论	978-7-307-07529-0	张斌峰[等]编著	D90				
法社会学专题研究	978-7-300-11895-6	主编朱景文	D90				
中国法律思想史	978-7-300-11643-3	"马小红,姜晓敏著"	D90				
西方法学史读本	978-7-313-06136-2	何勤华编著	D90				
古代法	978-7-5004-8171-3	"(英)亨利·萨姆奈·梅因著;高敏,瞿慧虹译"	D90				
法律的故事	978-7-214-02064-2	"(美)约翰·麦·赞恩著;刘昕,胡凝译"	D90				
传播法规与伦理	978-7-313-06050-1	戴永明编著	D91				
教育法学	978-7-300-08784-9	(美)内尔达·H·坎布朗-麦凯布	D91				
全球与中国反倾销调查研究	978-7-313-06294-9	侯兴政著	D91				
数字版权管理技术原理与应用	978-7-115-20973-3	"冯明,唐宏,陈戈等编著"	D91				
Google炸弹	978-7-229-01964-8	"(美)小约翰·多齐尔,苏·雪夫著;余洁,吴"	D91				
创新与激励	978-7-5432-1744-7	(美)苏珊娜·斯科奇姆著;刘勇译	D91				
证据协力义务之比较法研究	978-7-5004-8320-5	占善刚著	D91				
科技鉴案	978-7-208-08583-1	吴元洁主编	D91				
法理学的新发展	978-7-5004-8220-8	胡水君主编	D92				
新中国法治建设与法学发展60年	978-7-5097-1360-0	主编李林	D92				
新编中华人民共和国常用法律法规全书	978-7-5093-1548-4	国务院法制办公室编	D92				
公民权利救济论	978-7-5004-6885-1	陈焱光著	D92				
行政法与行政诉讼法	978-7-307-06683-0	叶必丰著	D92				
国家赔偿法百问	978-7-206-06246-9	编著牛丽	D92				
法官告诉您怎样打交通肇事官司	978-7-206-05173-9	主编姚天冲	D92				
法官告诉您怎样打交通运输官司	978-7-206-05854-7	编著张莉	D92				
治安管理处罚法百问	978-7-206-05737-3	编著由力	D92				
医疗事故处理条例百问	978-7-206-05992-6	编著牛丽	D92				
中华人民共和国教育法律法规规章汇编	978-7-5617-6660-6	教育部法制办公室编	D92				
网络游戏法律政策研究2009	978-7-313-04254-5	主编寿步	D92				
法官告诉您怎样打房屋官司	978-7-206-05184-5	主编赵凯	D92				
儿童权利与法律保护	978-7-208-08744-6	柳华文主编	D92				
财经法规与职业道德	978-7-80684-788-6	"上海国家会计学院编;本册编著薛晶,汪_"	D92				
中华人民共和国现行财政法规及优惠政策汇编	978-7-5429-2237-3	《中华人民共和国财政法》编委会编	D92				
税收立法权研究	978-7-81110-546-9	胡小红著	D92				
金融法学	978-7-307-07354-8	王煜宇等编著	D92				
法官告诉您怎样打保险官司	978-7-206-05647-5	编著牛丽	D92				
经济法教程	978-7-5640-1775-0	"主编曹胜亮,段葳"	D92				
经济法	978-7-5605-1637-0	主编冯宪芬	D92				
经济法	978-7-307-07027-1	"曾咏梅,王峰编著"	D92				
中国反垄断研究	978-7-5640-2957-9	"何海燕,赵飞,乔小勇等著"	D92				
公司法百问	978-7-206-06249-0	编著解玉环	D92				
个人独资企业法百问	978-7-206-06245-2	编著张丽佳	D92				
破产法原理与案例教程	978-7-300-12323-3	撰稿人王欣新[等]	D92				
公司法原理与案例教程	978-7-300-12046-1	主编叶林;撰稿人林懿欣[等]	D92				
中国外贸预防欺诈策略全书	978-7-5064-5487-2	姜作利著	D92				
旅游劳动及其权益适用	978-7-5032-3701-0	程国庆著	D92				
劳动法学	978-7-5643-0135-4	"饶艾,杨珊,夏永梅编"	D92				
劳动与社会保障法学	978-7-5624-4762-7	"主编赵美珍,骆福林"	D92				
法律基础与HR	978-7-5628-2679-8	本书编著胡志民	D92				
就业权研究	978-7-5004-7503-3	李运华著	D92				
工作法则	978-7-5093-1572-9	余斌著	D92				
劳动合同法百问	978-7-206-05730-4	编著张丽佳	D92				
劳资纠纷节点分析与应对	978-7-80255-349-1	张秀丽编著	D92				
劳动争议调解仲裁法	978-7-206-06247-6	编著牛丽	D92				
民法	978-7-5432-1567-2	"洪伟,黄彤主编"	D92				
我国民法典体系问题研究	978-7-5058-7598-2	王利明等著	D92				
生活中的侵权法	978-7-5093-1671-9	李遐桢主编	D92				
中华人民共和国侵权责任法解读	978-7-5118-0405-1	主编余中大	D92				
最高人民法院民商事类司法解释研究	978-7-300-11711-9	王伟国著	D92				
法官告诉您怎样打人身损害赔偿官司	978-7-206-05855-4	编著牛丽	D92				
物权法	978-7-5605-3355-1	主编陶信平	D92				
物权法析论	978-7-5004-8254-3	贾登勋主编	D92				
担保法百问	978-7-206-06037-3	主编牛丽	D92				
法官告诉您怎样打知识产权官司	978-7-206-05648-2	主编张丽佳	D92				
版权与图书外贸	978-7-207-08087-5	马海群等编著	D92				
著作权法适用与审判实务	978-7-5093-0545-4	周晓冰著	D92				
继承法百问	978-7-206-05738-0	编著解玉环	D92				
合同法	978-7-307-07603-7	主编崔明霞	D92				
合同法适用与审判实务	978-7-5093-0395-5	主编邢钢;撰稿人邢钢[等]	D92				
消费者权益保护法百问	978-7-206-05736-6	编著牛丽	D92				
法官告诉您怎样打产品质量官司	978-7-206-05856-1	编著解玉环	D92				
法官告诉您怎样打消费维权官司	978-7-206-05169-2	主编牛丽	D92				
法官告诉您怎样打扶养、抚养、赡养、收养官司	978-7-206-05645-1	编著牛丽	D92				
收养法百问	978-7-206-06038-0	编著伍_黎	D92				
金融犯罪法律适用研究	978-7-313-06364-9	"上海市徐汇区人民检察院,上海市人民检察院"	D92				
法官告诉您打官司常识	978-7-206-05172-2	主编李亚斌	D92				
法官告诉您怎样上诉和申诉	978-7-206-05177-7	主编张世琦	D92				
法官告诉您怎样起诉和应诉	978-7-206-05178-4	主编张世琦	D92				
民事诉讼法学关键问题	978-7-300-12130-7	主编江伟;撰写人韩香[等]	D92				
法官告诉你怎样打医疗纠纷官司	978-7-206-05170-8	主编龙英海	D92				
民事诉讼法百问	978-7-206-05993-3	编著解玉环	D92				
金融危机下民商事案件裁判要点与裁判依据	978-7-5109-0018-1	主编俞宏雷	D92				
《刑事诉讼法》法律法规精释	978-7-300-11581-8	李奋飞编著	D92				
辩护权与诘问权	978-7-5609-6066-1	王兆鹏著	D92				
在路上	978-7-5118-0608-6	谢长宇著	D92				
北京城市应急机制法制化的理论与实务	978-7-5609-5670-1	"戚建刚,杨小敏著"	D92				
中国古代断案智谋	978-7-5304-1669-3	陈霞村编著	D92				
日本专利法的历史考察及制度分析	978-7-01-008879-2	张玲著	D93				
欧洲体育法研究	978-7-307-07541-2	黄世席著	D95				
反对有理	978-7-209-05200-9	(美)马克·图什内特编著;胡晓进译	D97				
美国联邦最高法院经典税法案例评析	978-7-5429-2300-4	翟继光著	D97				
美国专利法	978-7-313-06535-3	张乃根等编著	D97				
美国要案审判	978-7-5011-8781-2	"(美)爱德华·W.耐普曼编;于卉芹,李忠军"	D97				
美国宪政民主下的司法与资本主义经济发展	978-7-5426-3036-0	韩铁著	D97				
世界贸易组织与区域贸易组织管辖权的冲突与协调	978-7-80745-655-1	侯幼萍著	D99				
国际商法	978-7-5642-0679-6	"吴建斌,朱娟编著"	D99				
儿童监护国际私法问题研究	978-7-81134-360-1	吴用著	D99				
资产追回国际法律合作问题研究	978-7-81139-963-9	张士金著	D99				
改变世界历史进程的经典战役	978-7-5100-0664-7	本丛书编委会编;王红英编著	E19				
一触即发	978-7-5100-0667-8	"本丛书编委会编;张华,范恒,张丹薇编著"	E19				
浴血阿拉曼	978-7-119-06247-1	王志强主编	E19				
刘少奇军事画传	978-7-221-08651-8	中共中央文献研究第二编研部编著	E20				
影响中国历史进程的经典战役	978-7-5100-0665-4	田华丽编著;本丛书编委会编	E29				
中国历代军事文化论要	978-7-80237-311-2	何平立著	E29				
止战之殇	978-7-5472-0039-1	《走遍中国》创作组编著	E29				
国家化名义下的私属化	978-7-5097-1414-0	李宝明著	E29				
晋绥军集团军政秘档	978-7-5034-2356-7	文闻编	E29				
民国军制	978-7-5000-8304-7	编著李跃乾	E29				
西路军	978-7-224-08879-3	冯亚光著	E29				
西点军校成功密码	978-7-5640-3231-9	肖悦编著	E71				
未来的战争与战法	978-7-5100-0663-0	"本丛书编委会编;高蓬勃,周全,柴青川编著"	E81				
中国古代兵书	978-7-5094-0058-6	王兆春著	E89				
武器百科	978-7-5075-2767-4	"朱立春,徐胜华主编"	E92				
经济学	978-7-5432-1712-6	贺金社主编	F01				
经济学	978-7-5432-1717-1	贺金社主编	F01				
一天就能读完的《资本论》	978-7-5019-7371-2	(美)欧内斯特·乌恩特曼著;吕博译	F00				
马克思主义经济危机理论与当代现实	978-7-5058-8132-7	刘明远著	F00				
经济理论与市场秩序	978-7-5432-1550-4	韦森著	F01				
通向富有的屏障	978-7-300-11664-8	"斯蒂芬·L·帕伦特,爱德华·C·普雷斯科特"	F01				
再造消费者关系	978-7-5426-3207-4	唐健盛著	F01				
宏观经济学	978-7-5432-1513-9	"(美)罗伯特·J·巴罗著;沈志彦,陈利贤译"	F01				
经济学(宏观)	978-7-5611-5425-0	赵辉编著	F01				
宏观经济学	978-7-300-11528-3	"鲁迪格·多恩布什,斯坦利·费希尔,理查德"	F01				
宏观经济学	978-7-300-11133-9	斯蒂芬·D.威廉森著;郭庆旺译	F01				
管理者宏观经济学	978-7-300-12262-5	"(美)迈克尔·K·伊万斯著;陈彦斌,郭杰等"	F01				
《宏观经济学》学生指导和练习册	978-7-300-09497-7	"罗杰·T·考夫曼著;马学亮,付欢译"	F01				
《微观经济学》(第七版)学习指导	978-7-300-11928-1	"乔纳森·汉密尔顿,瓦莱丽·萨斯洛编;高远"	F01				
MBA微观经济学	978-7-300-12098-0	"理查德·B·麦肯齐,德怀特·R·李著;陈彦"	F01				
可计算一般均衡模型的基本原理与编程	978-7-5432-1755-3	张欣著	F01				
资本主义经济增长的逻辑	978-7-5058-8170-9	赵峰著	F03				
理解资本主义	978-7-300-11596-2	"塞缪尔·鲍尔斯,理查德·爱德华兹,弗兰克"	F03				
平等与效率	978-7-5080-5758-3	(美)阿瑟·奥肯著;王奔洲等译	F03				
金融资本	978-7-5080-4179-7	(奥)鲁道夫·希法亭著;李琼译	F03				
资本主义经济金融化与国际金融危机	978-7-5058-8222-5	刘元琪主编	F03				
社会主义社会劳动和劳动价值论新探	978-7-5097-1559-8	"主编何炼成,何林"	F04				
电影院的爆米花为什么卖得贵?	978-7-5019-7024-7	"(美)理查德·麦肯齐著;鄂丽燕,王方圆译"	F04				
火星人经济学	978-7-229-01880-1	徐宪江著	F04				
赤裸裸的经济学	978-7-5086-1964-4	(美)查尔斯·惠伦著;孙稳存译	F04				
超爆魔鬼经济学	978-7-5086-1925-5	"(美)史蒂文·列维特,斯蒂芬·都伯纳著;曾"	F04				
一口气读完经济学	978-7-5113-0324-0	关力编著	F04				
20几岁必须要知道的经济学常识	978-7-5021-7696-9	宁牧达编著	F04				
现代人必修的经济课	978-7-5461-0918-3	陈荣贵编译	F04				
笑话中的经济学	978-7-121-10226-4	斯凯恩编著	F04				
"20几岁,别说你不懂经济学"	978-7-115-22252-7	"唐华山,朴艺丹编著"	F04				
人人都爱经济学	978-7-115-21713-4	王福重著	F04				
哈佛散记	978-7-300-11527-6	张晓晶著	F04				
人一生要知道的经济学全集	978-7-80251-384-6	白袷编著	F04				
生活要懂点经济学	978-7-122-06638-1	王宇编著	F04				
经济学读书笔记	978-7-5004-8560-5	李洪峰著	F05				
经济发展理论	978-7-5004-7508-8	(美)约瑟夫·阿洛伊斯·熊彼特著;叶华译	F06				
发展经济学	978-7-5432-1580-1	"(美)斯图亚特·R.林恩著;王乃辉,倪凤佳,"	F06				
知识交易及管理研究	978-7-81113-659-3	陈搏著	F06				
公共经济学	978-7-313-06141-6	"魏陆,吕守军编著"	F06				
公共经济学	978-7-307-07255-8	"主编张光,曾明"	F06				
普通高等学校服务学知识体系	978-7-302-22562-1	服务学专家协作组工作委员会编	F06				
经济社会的起源	978-7-5432-1741-6	"(美)罗伯特·L.海尔布罗纳,(美)威廉·米"	F06				
行为经济学新进展	978-7-300-11140-7	"科林·F·凯莫勒,乔治·罗文斯坦"	F06				
西方经济学	978-7-5640-2496-3	魏小文主编	F09				
西方经济学	978-7-5095-2014-7	主编高本权	F09				
一天就能读完的《国富论》	978-7-5019-7515-0	(英)凯伦·麦克格雷迪著;吕博译	F09				
就业、利息和货币通论	978-7-5004-8291-8	(英)约翰·梅纳德·凯恩斯著;陆梦龙译	F09				
《通往奴役之路》评析	978-7-81110-629-9	谭扬芳著	F09				
马克思主义经济学说史	978-7-300-12003-4	姚开建主编	F09				
英国历史经济学	978-7-300-11926-7	杰拉德·M·库特著;乔吉燕译	F09				
当代世界经济	978-7-300-11888-8	白远编著	F11				
低碳发展知识读本	978-7-5406-7599-8	"中共广东省委宣传部,广东省社会科学院编"	F11				
国际政治经济学	978-7-208-09221-1	"(美)本杰明·J.科恩著;杨毅,钟飞腾译"	F11				
国际经济学评论	978-7-5095-1975-2	"佟家栋,海闻主编"	F11				
国际经济学	978-7-300-12150-5	"W·查尔斯·索耶,理查德·L·斯普林克著;"	F11				
从马克思到市场	978-7-5432-1752-2	"(波)W.布鲁斯,K.拉斯基著;银温泉译"	F11				
